OBJECTID,PROJECT_ID,FISCAL_YEAR,CONSTRUCTION_YEAR,CONCEPT_CODE,CONCEPT_DESCRIPTION,WORK_CONCEPT,SUB_PROGRAM_CODE,SUB_PROGRAM_DESCRIPTION,ROUTE_TYPE,ROUTE_NAME,ROUTE,COUNTY,TITLE,LIMITS,MILES,REGION,CONSTRUCTION_COST_RANGE_WD,LAST_REFRESH_DATE,WORK_DESCRIPTION,ASSEMBLY_DISTRICT_NUMBERS,CONGRESSIONAL_DISTRICT_NUMBERS,SENATE_DISTRICT_NUMBERS
200900,12290474,2022,2022,RECSTE,"RECONSTRUCTION, EXPANSION",CONST/RECONSTRUCT W/EXPANSION,302,MAJOR HIGHWAY DEVELOPMENT                                                  ,I-,043,I-043,OZAUKEE                       ,I-43 NORTH SOUTH FREEWAY,W COUNTY LINE RD INTERCHANGE,1.22,SE,"$60,000,000 - $69,999,999",2021/07/24 08:34:36+00,"I-43 NS FRWY, SILVER SPRING DR TO STH 60",23,"4,6",8
200901,64200072,2024,2024,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONSTR/RESURF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,049,WIS 049,WAUPACA                       ,WAUPACA - NORTHLAND,NORTH STREET TO DEPOT STREET,7.875,NC,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Roadway will be resurfaced.,40,8,14
200902,50400370,2023,2023,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/MILL & O'LAY/BRI O'LAYS/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,080,WIS 080,VERNON                        ,RICHLAND CENTER - HILLSBORO,CTH C TO S FORK BARABOO R STRUCTURE,11.79,SW,"$8,000,000 - $8,999,999",2021/07/24 08:34:36+00,Pavement Replacement.,"96,50",3,"17,32"
200903,50700172,2023,2023,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAV'T REPLACE/PVRPLA,303,STATE HIGHWAY REHABILITATION                                               ,WIS,154,WIS 154,RICHLAND                      ,STH 58 - ROCK SPRINGS,STH 58 TO EAST COUNTY LINE,3.53,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Pavement Replacement.,51,"2,3",17
200908,75750165,2025,2025 - 2026,BRRHB ,BRIDGE REHABILITATION,CONST/CONC O'LAY/PAINT/REPAIR/BRRHB,303,STATE HIGHWAY REHABILITATION                                               ,WIS,016,WIS 016,LA CROSSE                     ,LA CROSSE - SPARTA,MEDARY OVERPASS B-32-111,0.13,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"Concrete Overlay, Paint and Repair Bridge Rehabilitation.",95,3,32
200909,73630070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,HH ,County HH ,BUFFALO                       ,CTH H - CTH Y                      ,BR BUFFALO RIVER BRIDGE B-06-0196,0.003,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,92,3,31
200910,50900560,2024,2024,PVRPLA,PAVEMENT REPLACEMENT,CONST/ PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,033,WIS 033,SAUK                          ,REEDSBURG - BARABOO,W MULBERRY ST TO E V LIMITS,0.41,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"Pavement Marking, surface",81,2,27
200912,62403171,2025,2025 - 2026,MISC  ,MISCELLANEOUS,CONST/MISC,303,STATE HIGHWAY REHABILITATION                                               ,WIS,047,WIS 047,OUTAGAMIE                     ,"V BLACK CREEK, STH 47",STORM SEWER IMPROVEMENT,0.82,NE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Storm sewer improvement in the Village of Black Creek to address flooding concerns and bring existing system to capacity.,5,8,2
200913,32200971,2025,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,158,WIS 158,KENOSHA                       ,"52ND STREET, CITY OF KENOSHA",IH41/94 FRONTAGE RD TO CTH H,2.01,SE,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,52ND ST (IH 94 TO CTH H) RESURFACE,"61,64",1,"21,22"
200914,78230773,2022,2022,RCND10,RECONDITION (INTERSECTION/WIDEN/SHOULDER),CONSTRUCTION/RECONDITION,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,D  ,County D  ,EAU CLAIRE                    ,FALL CREEK - NCL                   ,CTH XX TO STH 27                   ,3.76,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Approved STP rural project.,68,3,23
200915,63400074,2025,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/PV RPLCMT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,PORTAGE                       ,RUDOLPH - MARSHFIELD,2ND STREET N TO CTH P,6.444,NC,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,The pavement will be replaced on this highway.,70,3,24
200917,11002070,2023,2023,RSRF25,RESURF (OVERLAY >= 4 IN DOES NOT INCREASE PROFILE),CONST/RESURFACE/PHASE I,303,STATE HIGHWAY REHABILITATION                                               ,I-,041,I-041,MILWAUKEE                     ,IH 41 ZOO FREEWAY,BURLEIGH ST TO CAPITOL DR,1.012,SE,"$25,000,000 - $29,999,999",2021/07/24 08:34:36+00,Resurface roadway.,14,5,5
200920,80600072,2023,2023,MISC  ,MISCELLANEOUS,CONSTR/SANITARY SEWER & WATER MAIN,303,STATE HIGHWAY REHABILITATION                                               ,WIS,035,WIS 035,ST. CROIX                     ,SOMERSET - ST CROIX FALLS,CTH C TO LASER DRIVE,1.227,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"This project consists of removing and replacing the existing pavement, replacing municipal water/sanitary utilities, and all incidentals necessary.",28,7,10
200921,10200080,2024,2024,BRRHB ,BRIDGE REHABILITATION,CONSTRUCTION/POLYMER OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,ST. CROIX                     ,HUDSON - BALDWIN,"ST CROIX RIVER B-55-0061, B-55-0126",0.5,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Overlay existing bridge decks with thin polymer overlay and all incidentals necessary.,30,7,10
200924,50320070,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,033,WIS 033,JUNEAU                        ,HILLSBORO - REEDSBURG,BARABOO RIVER TO V WONEWOC S LIMIT,4.538,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,To Be Determined,50,3,17
200925,61000860,2024,2023,PSRS40,SHORT TERM OVERLAY (MILL AND OVERLAY),CONST/PSRS40,303,STATE HIGHWAY REHABILITATION                                               ,WIS,044,WIS 044,FOND DU LAC                   ,FAIRWATER-BRANDON,WCL-STH 49,3.588,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"FAIRWATER-BRANDON, RESURFACE","41,42",6,14
200926,59440474,2026 - 2027,2025 - 2026,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,081,WIS 081,LAFAYETTE                     ,DARLINGTON - ARGYLE,STH 23 TO WILDCAT ROAD,0.65,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Resurfacing Project,51,2,17
200927,40754071,2026 - 2027,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,096,WIS 096,OUTAGAMIE                     ,"W WISCONSIN AVE, T OF GRAND CHUTE",CASALOMA DRIVE - N BADGER AVENUE,2,NE,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,Resurface West Wisconsin Avenue from IH 41 - Badger Avenue in the City of Appleton.,"55,56",8,19
200929,82000071,2026 - 2027,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,027,WIS 027,CHIPPEWA                      ,CADOTT - CORNELL,STH 29 TO JOHNSON ROAD,15.42,NW,"$8,000,000 - $8,999,999",2021/07/24 08:34:36+00,Pavement resurfacing on STH 27.,67,"3,7",23
200930,10230079,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,JACKSON                       ,BLACK RIVER FALLS - TOMAH,BLACK RIVER - PERRY CREEK,4.48,NW,"$10,000,000 - $10,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",92,3,31
200931,65180070,2024,2024,COLD20,PARTIAL DEPTH CIR WITH > 2.5 INCH CAP,CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,076,WIS 076,WAUPACA                       ,GREENVILLE - BEAR CREEK,OUTAGAMIE COUNTY LINE TO USH 45,0.51,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,Remove top layer of pavement and apply a new surface.,6,8,2
200932,62500273,2025,2025 - 2026,COLD30,FULL DEPTH CIR,CONST/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,022,WIS 022,WAUPACA                       ,CLINTONVILLE - SHAWANO,STH 156 TO LAKE WAGNER ROAD,4.42,NC,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Replace pavement as it has reached the end of its service life,"40,6",8,"14,2"
200933,16100076,2023,2023,PVRPLA,PAVEMENT REPLACEMENT,CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,ASHLAND                       ,MELLEN - ASHLAND,JEFFERSON AVE TO GOLF COURSE ROAD,2.98,NW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,"This project consists of replacing the existing pavement, widening and paving shoulders with rumble strips, replacing municipal water/sanitary utilities, and all incidentals necessary.",74,7,25
200934,10200780,2025,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRIDGE REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,ST. CROIX                     ,HUDSON - BALDWIN,KINNEY ROAD BRIDGE EB B-55-0251,0.473,NW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,This project consists of a bridge replacement of the existing B-55-0251 bridge along with all incidentals necessary.,30,7,10
200935,51400560,2022,2022,BRRHB ,BRIDGE REHABILITATION,CONST/CONCRETE OVERLAYS/BRRHB,303,STATE HIGHWAY REHABILITATION                                               ,WIS,027,WIS 027,MONROE                        ,CASHTON - SPARTA,CP RR & LA CROSSE R BRGS B-41-11/12,0.46,SW,"$750,000 - $999,999",2021/07/24 08:34:36+00,"Concrete Overlay, Bridge Rehab",70,3,24
200937,81000172,2026 - 2027,2025 - 2026,COLD20,PARTIAL DEPTH CIR WITH > 2.5 INCH CAP,CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,025,WIS 025,DUNN                          ,MENOMONIE - RIDGELAND,IH 94 TO CTH D,4.8,NW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"This project consists CIR and overlaying the existing pavement, along with all incidentals necessary.","67,29",3,"10,23"
200938,23101370,2024,2024,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,060,WIS 060,WASHINGTON                    ,"MAIN ST, VILLAGE JACKSON",CTH P TO EAGLE DR,1.65,SE,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"STH 60, CTH P TO JACKSON DR","60,58",5,20
200939,63700063,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,153,WIS 153,MARATHON                      ,STRATFORD - MOSINEE,STH 97 TO STH 107,11.46,NC,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,To Be Determined,"86,69",7,"29,23"
200941,81600073,2026 - 2027,2025 - 2026,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRIDGE REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,BAYFIELD                      ,ASHLAND - BAYFIELD,LITTLE WHITTLESEY CREEK B-04-0126,0.004,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,This project consists of a bridge replacement of the existing B-04-0037 bridge along with all incidentals necessary.,74,7,25
200942,54780077,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,P  ,County P  ,VERNON                        ,STH 131 - CTH V                    ,"WARNER CREEK BRIDGE, B-62-0268",0,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Local Bridge Replacement Project,96,3,32
200943,89530472,2022,2022,PVRPLA,PAVEMENT REPLACEMENT,CONSTRUCTION/PAVEMENT REPLACEMENT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,SS ,County SS ,CHIPPEWA                      ,BLOOMER - NEW AUBURN               ,83RD STREET TO CTH Q               ,3.25,NW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Pavement replacement on CTH SS in Chippewa county from 836rd Street to CTH Q.,67,7,23
200945,31800077,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,011,WIS 011,WALWORTH                      ,BURLINGTON BYPASS,E OF LYONS TO E OF SPRING VALLEY RD,2.387,SE,"$6,000,000 - $6,999,999",2021/07/24 08:34:36+00,"STH 11, E OF LYONS TO E OF SPRING VALLEY RD","32,63",1,"21,11"
200947,59390072,2026 - 2027,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,080,WIS 080,IOWA                          ,COBB - AVOCA,KENNEDY STREET TO 0.27 MILE N CTH I,1.972,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Mill and Overlay Project Resurfacing,51,2,17
200949,60600170,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,073,WIS 073,COLUMBIA                      ,COLUMBUS - PRINCETON,STH 33 TO N COUNTY LINE ROAD,5.48,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Resurfacing Overlay,42,6,14
200950,10530775,2024,2024,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,029,WIS 029,MARATHON                      ,ABBOTSFORD - WAUSAU,"CTH E TO CTH H, EB",8.64,NC,"$12,000,000 - $12,999,999",2021/07/24 08:34:36+00,Replace existing deteriorating pavement with new concrete pavement.,"86,69,87",7,"29,23"
200951,43131171,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL P-36-0193,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,MANITOWOC                     ,"T MEEME, WEST WASHINGTON ROAD      ",MEEME RIVER BRIDGE                 ,0,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing Structure P360193,27,6,9
200952,58451674,2026 - 2027,2025 - 2026,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,302,MAJOR HIGHWAY DEVELOPMENT                                                  ,US,051,US 051,DANE                          ,STOUGHTON - MADISON,ROBY ROAD TO S CTH B/AB,3.8,SW,"$25,000,000 - $29,999,999",2021/07/24 08:34:36+00,Existing roadway reconstruction with improvements to safety without expansion.,"43,47",2,"15,16"
200953,15901871,2025,2025 - 2026,RSRF25,RESURF (OVERLAY >= 4 IN DOES NOT INCREASE PROFILE),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,US,008,US 008,FOREST                        ,MONICO - LAONA,STH 55 SOUTH TO OTTER CREEK ROAD,5.05,NC,"$6,000,000 - $6,999,999",2021/07/24 08:34:36+00,Replace existing pavement on roadway.,36,7,12
200954,33400970,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/TURNING LANE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,031,WIS 031,KENOSHA                       ,"GREEN BAY ROAD, CITY OF KENOSHA",78TH STREET INTERSECTION,0.02,SE,"$100,000 - $249,999",2021/07/24 08:34:36+00,"STH 31, 78TH ST INTERSECTION",64,1,22
200955,15400473,2026 - 2027,2027,RECSTE,"RECONSTRUCTION, EXPANSION","CONSTR/RECONSTRUCTION, EXPANSION",303,STATE HIGHWAY REHABILITATION                                               ,WIS,065,WIS 065,ST. CROIX                     ,RIVER FALLS - NEW RICHMOND,STH 65 EXPANSION//70TH AV INTERSECT,0.62,NW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,This project consists of expanding STH 65 to 4-lanes from the North of the reconstructed STH 65 interchange ramp termini to the future Wagner Lane.,30,7,10
200956,89990065,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,ST. CROIX                     ,"V NORTH HUDSON, WISCONSIN ST NORTH ",6TH STREET NORTH TO 3RD ST NORTH   ,0.15,NW,"$750,000 - $999,999",2021/07/24 08:34:36+00,Reconstruct roadway.,30,7,10
200960,15800472,2024,2024,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACE/RSRF20,303,STATE HIGHWAY REHABILITATION                                               ,US,008,US 008,RUSK                          ,LADYSMITH - HAWKINS,RIVER AVENUE TO PRENTICE STREET,10.571,NW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",87,7,29
200963,50800274,2024,2024,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,023,WIS 023,SAUK                          ,SPRING GREEN - REEDSBURG,USH 14 TO CTH GG,12.03,SW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,Resurfacing equal to or greater than 4 inches,51,2,17
200964,93050770,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,107,WIS 107,LINCOLN                       ,MERRILL - TOMAHAWK,WILDERNESS DRIVE TO CTH S,13.592,NC,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,To Be Determined,35,7,12
200965,22700470,2022,2022,RSRF25,RESURF (OVERLAY >= 4 IN DOES NOT INCREASE PROFILE),CONST/RECONDITION,303,STATE HIGHWAY REHABILITATION                                               ,WIS,057,WIS 057,MILWAUKEE                     ,STH 57-VIL BROWN DEER & CITY MEQUON,TEUTONIA AVENUE TO MEQUON ROAD,4.093,SE,"$17,000,000 - $19,999,999",2021/07/24 08:34:36+00,"Mill and overlay, reconstruct Brown Deer Interchange","24,23","4,6",8
200967,89980036,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONSTRUCTION/RECONSTRUCTION,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,DOUGLAS                       ,"C SUPERIOR, HAMMOND AVE            ",N 21ST STREET TO N 28TH STREET     ,0.5,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Reconstruction of Hammond Ave in the City of Superior.,73,7,25
200968,70400073,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,098,WIS 098,CLARK                         ,GREENWOOD - SPENCER,BEAR CREEK BRIDGE B-10-0252,0.009,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,To Be Determined,69,7,23
200970,81900072,2022,2022,PSRS40,SHORT TERM OVERLAY (MILL AND OVERLAY),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,064,WIS 064,CHIPPEWA                      ,BLOOMER - CORNELL,NORTH JUNCTION STH 40 TO CTH E,6.67,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"This project consists of CIR and overlaying the existing pavement, along with all incidentals necessary.",67,7,23
200972,15600075,2023,2023,MISC  ,MISCELLANEOUS,CONSTRUCTION/CULVERT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,US,063,US 063,SAWYER                        ,"C HAYWARD, FIRST STREET",SMITH LAKE CREEK CULVERT,0.06,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,This project consists of replacing the existing culvert and all incidentals necessary.,87,7,29
200975,72830070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,TREMPEALEAU                   ,"T HALE, KOWAHL ROAD                ",N BR ELK CREEK BRIDGE B-61-0243,0.004,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,92,3,31
200976,89490076,2026 - 2027,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,US,012,US 012,DUNN                          ,BALDWIN - MENOMONIE,IH 94 TO STH 25 N,0.597,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",29,3,10
200977,60850275,2024,2024,MISC  ,MISCELLANEOUS,CONST/LONG LT TURN LNS/MONOTUB/MISC,303,STATE HIGHWAY REHABILITATION                                               ,WIS,019,WIS 019,DANE                          ,MAZOMANIE - SUN PRAIRIE,USH 151 INTERCHANGE,0.244,SW,"$750,000 - $999,999",2021/07/24 08:34:36+00,Improve safety by providing a dedicated left turn phase to USH 151's on-ramps.  This will involve installing monotube signals and longer left turn bays.,46,2,16
200978,67480270,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,CX ,County CX ,MARQUETTE                     ,"T OXFORD, CTH CX                   ",CHAPMAN CREEK BRIDGE B-39-0013,0,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,,41,6,14
200979,10230174,2025,2025 - 2026,BRRHB ,BRIDGE REHABILITATION,CONSTRUCTION/BRIDGE REHABILITATION,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,JACKSON                       ,BLACK RIVER FALLS - TOMAH,B-27-039 & 043 EB/B-27-040 & 044 WB,0,NW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,"This project consists of a bridge rehabilitation, adding a concrete overlay and replacing the joints on the B-27-0039 bridge, along with all incidentals necessary.",92,3,31
200981,64980671,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL P-44-0712,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,OUTAGAMIE                     ,"C KAUKAUNA, ISLAND STREET          ",POWER CANAL TAIL RACE              ,0,NE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Replace existing structure P440712,5,8,2
200983,10200284,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,JACKSON                       ,BLACK RIVER FALLS - TOMAH,STH 54 WB BRIDGE B-27-0116,0.208,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,To Be Determined,92,3,31
200984,62402971,2024,2024,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,047,WIS 047,OUTAGAMIE                     ,"S MAIN STREET, V OF BLACK CREEK",CTH B-BURDICK STREET,0.48,NE,"$500,000 - $749,999",2021/07/24 08:34:36+00,"S MAIN STREET, V OF BLACK CREEK MILL AND OVERLAY",5,8,2
200985,83350070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,BARRON                        ,"T VANCE CREEK, 5TH ST & 1/2 AVE    ",VANCE CREEK BRIDGE B-03-0210,0.003,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge with new bridge.,75,7,25
200986,40900174,2025,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/ PAVE REPLACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,067,WIS 067,DODGE                         ,MAYVILLE - CAMPBELLSPORT,STH 175 TO EAST COUNTY LINE,2.49,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Pavement Replacement Project,39,6,13
200987,57980174,2022,2022,PVRPLA,PAVEMENT REPLACEMENT,CONST OPS/PAVE REPLACEMENT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,F  ,County F  ,ROCK                          ,JANESVILLE - EDGERTON              ,W HIGH STREET TO HAIN STREET,1.632,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Pavement Replacement Rehabilitation Project,43,2,15
200988,62301472,2023,2023,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,054,WIS 054,OUTAGAMIE                     ,"E. STATE STREET, V. OF BLACK CREEK",TOWER DRIVE - N BEECH STREET,0.389,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,Resurfacing STH 54 from Seymour-Shioton,5,8,2
200989,40856271,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACE B-05-0052,303,STATE HIGHWAY REHABILITATION                                               ,WIS,032,WIS 032,BROWN                         ,"CITY OF DE PERE, GREENLEAF ROAD",STH 32 NORTHBOUND OVER CTH PP,0,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"BRIDGE REPLACE B-5-0052 CITY DE PERE, GREENLEAF RD",88,8,30
200990,10530776,2023,2023,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,029,WIS 029,MARATHON                      ,WAUSAU - WITTENBERG,"BASS LAKE ROAD TO CTH D, WB",0.047,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Resurface existing pavement with new asphalt.,85,7,29
200991,65060571,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL B-44-478,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,OUTAGAMIE                     ,"T CICERO, OLD HIGHWAY 47           ",TOAD CREEK BRIDGE                  ,0.027,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace bridge.,5,8,2
